Data,Cidade,Estado,Temperatura Máxima (C),Temperatura Mínima (C),Condição
2025-06-08,Roque,Guanajuato,29.9,14.9,Partly Cloudy 
2025-06-09,Roque,Guanajuato,29.0,17.9,Partly Cloudy 
2025-06-10,Roque,Guanajuato,29.5,18.4,Thundery outbreaks in nearby
2025-06-11,Roque,Guanajuato,26.6,17.4,Moderate rain
2025-06-12,Roque,Guanajuato,27.3,16.1,Patchy rain nearby
2025-06-13,Roque,Guanajuato,23.6,15.8,Moderate rain
2025-06-14,Roque,Guanajuato,27.1,16.2,Patchy rain nearby
2025-06-15,Roque,Guanajuato,29.0,15.4,Patchy rain nearby
2025-06-16,Roque,Guanajuato,29.6,15.8,Sunny
2025-06-17,Roque,Guanajuato,29.8,16.2,Sunny
2025-06-18,Roque,Guanajuato,29.4,17.2,Patchy rain nearby
2025-06-19,Roque,Guanajuato,29.6,17.4,Patchy rain nearby
2025-06-20,Roque,Guanajuato,28.8,16.9,Patchy rain nearby
2025-06-21,Roque,Guanajuato,25.8,16.1,Patchy rain nearby
